Date;Close;Open;High;Low;Variation;
Nov 11, 2015;1.0744;1.0723;1.0774;1.0704;0,20 %;
Nov 10, 2015;1.0723;1.0751;1.0763;1.0673;-0,27 %;
Nov 09, 2015;1.0752;1.0735;1.0793;1.0716;0,10 %;
Nov 06, 2015;1.0741;1.0883;1.0896;1.0706;-1,30 %;
Nov 05, 2015;1.0883;1.0863;1.0898;1.0832;0,19 %;
Nov 04, 2015;1.0862;1.0962;1.0967;1.0842;-0,96 %;
Nov 03, 2015;1.0967;1.1013;1.1032;1.0935;-0,44 %;
Nov 02, 2015;1.1015;1.1013;1.1053;1.0999;0,09 %;
Oct 30, 2015;1.1005;1.0975;1.1073;1.0964;0,26 %;
Oct 29, 2015;1.0977;1.0923;1.0984;1.0903;0,52 %;
Oct 28, 2015;1.0920;1.1050;1.1096;1.0894;-1,17 %;
Oct 27, 2015;1.1049;1.1055;1.1079;1.1029;-0,07 %;
Oct 26, 2015;1.1057;1.1007;1.1068;1.0987;0,35 %;
Oct 23, 2015;1.1018;1.1107;1.1142;1.0993;-0,79 %;
Oct 22, 2015;1.1106;1.1338;1.1352;1.1098;-2,05 %;
Oct 21, 2015;1.1339;1.1344;1.1380;1.1332;-0,05 %;
Oct 20, 2015;1.1345;1.1324;1.1387;1.1322;0,16 %;
Oct 19, 2015;1.1327;1.1349;1.1382;1.1304;-0,17 %;
Oct 16, 2015;1.1346;1.1382;1.1398;1.1333;-0,33 %;
Oct 15, 2015;1.1383;1.1473;1.1496;1.1362;-0,79 %;
Oct 14, 2015;1.1474;1.1378;1.1489;1.1374;0,83 %;
Oct 13, 2015;1.1379;1.1355;1.1413;1.1343;0,20 %;
Oct 12, 2015;1.1356;1.1354;1.1397;1.1351;-0,02 %;
Oct 09, 2015;1.1358;1.1278;1.1391;1.1265;0,70 %;
Oct 08, 2015;1.1279;1.1234;1.1325;1.1231;0,38 %;
Oct 07, 2015;1.1236;1.1269;1.1283;1.1210;-0,32 %;
Oct 06, 2015;1.1272;1.1189;1.1282;1.1170;0,78 %;
Oct 05, 2015;1.1185;1.1219;1.1289;1.1170;-0,23 %;
Oct 02, 2015;1.1211;1.1194;1.1319;1.1149;0,14 %;
Oct 01, 2015;1.1195;1.1175;1.1209;1.1133;0,16 %;
Sep 30, 2015;1.1177;1.1245;1.1262;1.1156;-0,64 %;
Sep 29, 2015;1.1249;1.1243;1.1285;1.1192;0,04 %;
Sep 28, 2015;1.1245;1.1193;1.1249;1.1146;0,45 %;
Sep 25, 2015;1.1195;1.1227;1.1231;1.1114;-0,31 %;
Sep 24, 2015;1.1230;1.1184;1.1296;1.1163;0,39 %;
Sep 23, 2015;1.1186;1.1119;1.1215;1.1103;0,59 %;
Sep 22, 2015;1.1120;1.1186;1.1209;1.1112;-0,62 %;
Sep 21, 2015;1.1189;1.1281;1.1333;1.1180;-1,03 %;
Sep 18, 2015;1.1305;1.1435;1.1460;1.1267;-1,15 %;
Sep 17, 2015;1.1437;1.1289;1.1442;1.1283;1,31 %;
Sep 16, 2015;1.1289;1.1266;1.1321;1.1212;0,20 %;
Sep 15, 2015;1.1266;1.1313;1.1328;1.1257;-0,49 %;
Sep 14, 2015;1.1321;1.1335;1.1375;1.1282;-0,17 %;
Sep 11, 2015;1.1340;1.1278;1.1349;1.1253;0,53 %;
Sep 10, 2015;1.1280;1.1205;1.1299;1.1170;0,65 %;
Sep 09, 2015;1.1207;1.1199;1.1219;1.1130;0,06 %;
Sep 08, 2015;1.1200;1.1169;1.1228;1.1151;0,30 %;
Sep 07, 2015;1.1167;1.1157;1.1178;1.1120;0,18 %;
Sep 04, 2015;1.1147;1.1123;1.1181;1.1088;0,22 %;
Sep 03, 2015;1.1123;1.1224;1.1245;1.1086;-0,92 %;
Sep 02, 2015;1.1226;1.1311;1.1320;1.1214;-0,82 %;
Sep 01, 2015;1.1319;1.1209;1.1333;1.1204;0,93 %;
